thisdir	thisf	uuid	device	date	config_scenario	config_profile	subject_id	session_number	session_started_at	session_ended_at	trial_number_session	trial_started_at	repetition	level_number	level_name	level_background	stage_number	objects_count	object1_name	object1_touch_diff_time	object2_name	object2_touch_diff_time	object3_name	object3_touch_diff_time	object4_name	object4_touch_diff_time	mandy_touch_diff_time	object_asked	object_asked_position	object_touched	object_touched_position	object_touched_at	stage_end	correct	feedback	spl	dif	lex
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	38	2016-03-23T09:08:15.422Z	0	18	Test_C7	countryside	3	2	chien	NA	bebe	NA	NA	NA	NA	NA	609	chien	CENTER_LEFT	bebe	CENTER_RIGHT	3308	touch_object	0	1	2	easy	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	40	2016-03-23T09:08:51.240Z	0	18	Test_C7	countryside	5	2	griffes	NA	plumes	NA	NA	NA	NA	NA	5404	plumes	CENTER_RIGHT	griffes	CENTER_LEFT	1987	touch_object	0	1	1	difficult	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	41	2016-03-23T09:09:05.249Z	0	19	Test_C8	mountain	1	2	croquer	NA	lancer	NA	NA	NA	NA	NA	591	croquer	CENTER_LEFT	croquer	CENTER_LEFT	3324	touch_object	1	1	2	moderate	verb
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	42	2016-03-23T09:09:15.492Z	0	19	Test_C8	mountain	2	2	fleur	NA	maison	NA	NA	NA	NA	NA	387	maison	CENTER_RIGHT	maison	CENTER_RIGHT	1826	touch_object	1	1	1	easy	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	43	2016-03-23T09:09:23.992Z	0	19	Test_C8	mountain	3	2	gonfler	NA	sourire	NA	NA	NA	NA	NA	489	sourire	CENTER_RIGHT	sourire	CENTER_RIGHT	4366	touch_object	1	1	2	difficult	verb
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	44	2016-03-23T09:09:35.160Z	0	19	Test_C8	mountain	4	2	lourd	NA	ferme	NA	NA	NA	NA	NA	1973	lourd	CENTER_LEFT	lourd	CENTER_LEFT	1652	touch_object	1	1	1	moderate	adj
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	45	2016-03-23T09:09:45.094Z	0	19	Test_C8	mountain	5	2	helicoptere	NA	accident	NA	NA	NA	NA	NA	588	helicoptere	CENTER_LEFT	helicoptere	CENTER_LEFT	2412	touch_object	1	1	2	difficult	noun
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	48	2016-03-23T09:10:26.498Z	0	20	Test_C9	beach	2	2	toucher	NA	casser	NA	NA	NA	NA	NA	374	toucher	CENTER_LEFT	toucher	CENTER_LEFT	3691	touch_object	1	1	1	easy	verb
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	49	2016-03-23T09:10:36.896Z	0	20	Test_C9	beach	3	2	rigoler	NA	colorier	NA	NA	NA	NA	NA	542	colorier	CENTER_RIGHT	rigoler	CENTER_LEFT	2877	touch_object	0	1	2	moderate	verb
dumeril	app_session_706.csv	22677C0688BA4808835AF58CD484CA39	Unknown	2016-03-23	NA	Test_mix1_beg	22677C0688BA4808835AF58CD484CA39	1	2016-03-23T08:59:55.000Z	NA	50	2016-03-23T09:10:46.615Z	0	20	Test_C9	beach	4	2	tortue	NA	girafe	NA	NA	NA	NA	NA	282	tortue	CENTER_LEFT	tortue	CENTER_LEFT	1901	touch_object	1	1	1	moderate	noun
dumeril	app_session_707.csv	697FCD95A2B543DF9C74BCF7E09EBE52	Unknown	2016-03-23	NA	Test_mix1_beg	697FCD95A2B543DF9C74BCF7E09EBE52	1	2016-03-23T09:17:10.000Z	NA	8	2016-03-23T09:19:20.219Z	0	6	Test_C1	mountain	1	2	train	NA	bateau	NA	NA	NA	NA	NA	789	train	CENTER_LEFT	train	CENTER_LEFT	1352	touch_object	1	1	1	easy	noun
dumeril	app_session_707.csv	697FCD95A2B543DF9C74BCF7E09EBE52	Unknown	2016-03-23	NA	Test_mix1_beg	697FCD95A2B543DF9C74BCF7E09EBE52	1	2016-03-23T09:17:10.000Z	NA	9	2016-03-23T09:19:28.727Z	0	6	Test_C1	mountain	2	2	ciseau	NA	velo	NA	NA	NA	NA	NA	1139	ciseau	CENTER_LEFT	velo	CENTER_RIGHT	1443	touch_object	0	1	2	moderate	noun
dumeril	app_session_707.csv	697FCD95A2B543DF9C74BCF7E09EBE52	Unknown	2016-03-23	NA	Test_mix1_beg	697FCD95A2B543DF9C74BCF7E09EBE52	1	2016-03-23T09:17:10.000Z	NA	10	2016-03-23T09:19:37.627Z	0	6	Test_C1	mountain	3	2	sauter	NA	pleurer	NA	NA	NA	NA	NA	540	pleurer	CENTER_RIGHT	pleurer	CENTER_RIGHT	1348	touch_object	1	1	1	easy	verb
dumeril	app_session_707.csv	697FCD95A2B543DF9C74BCF7E09EBE52	Unknown	2016-03-23	NA	Test_mix1_beg	697FCD95A2B543DF9C74BCF7E09EBE52	1	2016-03-23T09:17:10.000Z	NA	12	2016-03-23T09:19:59.842Z	0	8	Test_C2	mountain	1	2	riviere	NA	foret	NA	NA	NA	NA	NA	639	riviere	CENTER_LEFT	riviere	CENTER_LEFT	1592	touch_object	1	1	2	difficult	noun
dumeril	app_session_707.csv	697FCD95A2B543DF9C74BCF7E09EBE52	Unknown	2016-03-23	NA	Test_mix1_beg	697FCD95A2B543DF9C74BCF7E09EBE52	1	2016-03-23T09:17:10.000Z	NA	13	2016-03-23T09:20:08.379Z	0	8	Test_C2	mountain	2	2	telephoner	NA	coiffer	NA	NA	NA	NA	NA	203	coiffer	CENTER_RIGHT	telephoner	CENTER_LEFT	3721	touch_object	0	1	1	difficult	verb
dumeril	app_session_707.csv	697FCD95A2B543DF9C74BCF7E09EBE52	Unknown	2016-03-23	NA	Test_mix1_beg	697FCD95A2B543DF9C74BCF7E09EBE52	1	2016-03-23T09:17:10.000Z	NA	14	2016-03-23T09:20:18.596Z	0	8	Test_C2	mountain	3	2	chat	NA	cochon	NA	NA	NA	NA	NA	5041	cochon	CENTER_RIGHT	cochon	CENTER_RIGHT	1192	touch_object	1	1	2	easy	noun
dumeril	app_session_707.csv	697FCD95A2B543DF9C74BCF7E09EBE52	Unknown	2016-03-23	NA	Test_mix1_beg	697FCD95A2B543DF9C74BCF7E09EBE52	1	2016-03-23T09:17:10.000Z	NA	15	2016-03-23T09:20:31.146Z	0	8	Test_C2	mountain	4	2	pingouin	NA	kangourou	NA	NA	NA	NA	NA	430	pingouin	CENTER_LEFT	pingouin	CENTER_LEFT	1405	touch_object	1	1	1	difficult	noun
dumeril	app_session_707.csv	697FCD95A2B543DF9C74BCF7E09EBE52	Unknown	2016-03-23	NA	Test_mix1_beg	697FCD95A2B543DF9C74BCF7E09EBE52	1	2016-03-23T09:17:10.000Z	NA	17	2016-03-23T09:20:53.884Z	0	10	Test_C3	desert	1	2	debout	NA	assis	NA	NA	NA	NA	NA	903	assis	CENTER_RIGHT	assis	CENTER_RIGHT	1488	touch_object	1	1	2	easy	adj
